id,foi,country
421,0.0156,8
422,0.0156,8
423,0.0156,8
424,0.0156,8
425,0.0156,8
426,0.0156,8
427,0.0156,8
428,0.0156,8
429,0.0156,8
430,0.0156,8
431,0.0156,8
432,0.0156,8
433,0.0156,8
434,0.0156,8
435,0.0156,8
436,0.0156,8
437,0.0156,8
438,0.0156,8
439,0.0156,8
440,0.0156,8
441,0.0156,8
442,0.0156,8
443,0.0156,8
444,0.0156,8
445,0.0156,8
446,0.0156,8
447,0.0156,8
448,0.0156,8
449,0.0156,8
450,0.0156,8
451,0.0156,8
452,0.0156,8
453,0.0156,8
454,0.0156,8
455,0.0156,8
456,0.0156,8
457,0.0156,8
458,0.0156,8
459,0.0156,8
460,0.0156,8
461,0.0156,8
462,0.0156,8
463,0.0156,8
464,0.0156,8
465,0.0156,8
466,0.0156,8
467,0.0156,8
468,0.0156,8
469,0.0156,8
470,0.0156,8
471,0.0156,8
472,0.0156,8
473,0.0156,8
474,0.0156,8
475,0.0156,8
476,0.0156,8
477,0.0156,8
478,0.0156,8
479,0.0156,8
480,0.0156,8
481,0.0156,8
482,0.0156,8
483,0.0156,8
484,0.0156,8
485,0.0156,8
486,0.0156,8
487,0.0156,8
488,0.0156,8
489,0.0156,8
490,0.0156,8
491,0.0156,8
492,0.0156,8
493,0.0156,8
494,0.0156,8
495,0.0156,8
496,0.0156,8
497,0.0156,8
498,0.0156,8
499,0.0156,8
500,0.0156,8
501,0.0156,8
502,0.0156,8
503,0.0156,8
504,0.0156,8
505,0.0156,8
506,0.0156,8
507,0.0156,8
508,0.0156,8
509,0.0156,8
510,0.0156,8
511,0.0156,8
512,0.0156,8
513,0.0156,8
514,0.0156,8
515,0.0156,8
516,0.0156,8
517,0.0156,8
518,0.0156,8
519,0.0156,8
520,0.0156,8
521,0.0156,8
522,0.0156,8
523,0.0156,8
524,0.0156,8
525,0.0156,8
526,0.0156,8
527,0.0156,8
528,0.0156,8
529,0.0156,8
530,0.0156,8
531,0.0156,8
532,0.0156,8
533,0.0156,8
534,0.0156,8
535,0.0156,8
536,0.0156,8
537,0.0156,8
538,0.0156,8
539,0.0156,8
540,0.0156,8
541,0.0156,8
