id,foi,country
158,0.0193,7
159,0.0193,7
160,0.0193,7
161,0.0193,7
162,0.0193,7
163,0.0193,7
164,0.0193,7
165,0.0193,7
166,0.0193,7
167,0.0193,7
168,0.0193,7
169,0.0193,7
170,0.0193,7
171,0.0193,7
172,0.0193,7
173,0.0193,7
174,0.0193,7
175,0.0193,7
176,0.0193,7
177,0.0193,7
178,0.0193,7
179,0.0193,7
180,0.0193,7
181,0.0193,7
182,0.0193,7
183,0.0193,7
184,0.0193,7
185,0.0193,7
186,0.0193,7
187,0.0193,7
188,0.0193,7
189,0.0193,7
190,0.0193,7
191,0.0193,7
192,0.0193,7
193,0.0193,7
194,0.0193,7
195,0.0193,7
196,0.0193,7
197,0.0193,7
198,0.0193,7
199,0.0193,7
200,0.0193,7
201,0.0193,7
202,0.0193,7
203,0.0193,7
204,0.0193,7
205,0.0193,7
206,0.0193,7
207,0.0193,7
208,0.0193,7
209,0.0193,7
210,0.0193,7
211,0.0193,7
212,0.0193,7
213,0.0193,7
214,0.0193,7
215,0.0193,7
216,0.0193,7
217,0.0193,7
218,0.0193,7
219,0.0193,7
220,0.0193,7
221,0.0193,7
222,0.0193,7
223,0.0193,7
224,0.0193,7
225,0.0193,7
226,0.0193,7
227,0.0193,7
228,0.0193,7
229,0.0193,7
230,0.0193,7
231,0.0193,7
232,0.0193,7
233,0.0193,7
234,0.0193,7
235,0.0193,7
236,0.0193,7
237,0.0193,7
238,0.0193,7
239,0.0193,7
240,0.0193,7
241,0.0193,7
242,0.0193,7
243,0.0193,7
244,0.0193,7
245,0.0193,7
246,0.0193,7
247,0.0193,7
248,0.0193,7
249,0.0193,7
250,0.0193,7
251,0.0193,7
252,0.0193,7
253,0.0193,7
254,0.0193,7
255,0.0193,7
256,0.0193,7
257,0.0193,7
258,0.0193,7
259,0.0193,7
260,0.0193,7
261,0.0193,7
262,0.0193,7
263,0.0193,7
264,0.0193,7
265,0.0193,7
266,0.0193,7
267,0.0193,7
268,0.0193,7
269,0.0193,7
270,0.0193,7
271,0.0193,7
272,0.0193,7
273,0.0193,7
274,0.0193,7
275,0.0193,7
276,0.0193,7
277,0.0193,7
278,0.0193,7
279,0.0193,7
280,0.0193,7
