id,foi,R0,wave
885,0.1558,1,27
886,0.1558,1,27
887,0.1558,1,27
888,0.1558,1,27
889,0.1558,1,27
890,0.1558,1,27
891,0.1558,1,27
892,0.1558,1,27
893,0.1558,1,27
894,0.1558,1,27
895,0.1558,1,27
896,0.1558,1,27
897,0.1558,1,27
898,0.1558,1,27
899,0.1558,1,27
900,0.1558,1,27
901,0.1558,1,27
902,0.1558,1,27
903,0.1558,1,27
904,0.1558,1,27
905,0.1558,1,27
906,0.1558,1,27
907,0.1558,1,27
908,0.1558,1,27
909,0.1558,1,27
910,0.1558,1,27
911,0.1558,1,27
912,0.1558,1,27
913,0.1558,1,27
914,0.1558,1,27
915,0.1558,1,27
916,0.1558,1,27
917,0.1558,1,27
918,0.1558,1,27
919,0.1558,1,27
920,0.1558,1,27
921,0.1558,1,27
922,0.1558,1,27
923,0.1558,1,27
924,0.1558,1,27
925,0.1558,1,27
926,0.1558,1,27
927,0.1558,1,27
928,0.1558,1,27
929,0.1558,1,27
930,0.1558,1,27
931,0.1558,1,27
932,0.1558,1,27
933,0.1558,1,27
934,0.1558,1,27
935,0.1558,1,27
936,0.1558,1,27
937,0.1558,1,27
938,0.1558,1,27
939,0.1558,1,27
940,0.1558,1,27
941,0.1558,1,27
942,0.1558,1,27
943,0.1558,1,27
944,0.1558,1,27
945,0.1558,1,27
946,0.1558,1,27
947,0.1558,1,27
948,0.1558,1,27
949,0.1558,1,27
950,0.1558,1,27
951,0.1558,1,27
952,0.1558,1,27
953,0.1558,1,27
954,0.1558,1,27
955,0.1558,1,27
956,0.1558,1,27
957,0.1558,1,27
958,0.1558,1,27
959,0.1558,1,27
960,0.1558,1,27
961,0.1558,1,27
962,0.1558,1,27
963,0.1558,1,27
964,0.1558,1,27
965,0.1558,1,27
966,0.1558,1,27
967,0.1558,1,27
968,0.1558,1,27
969,0.1558,1,27
970,0.1558,1,27
971,0.1558,1,27
972,0.1558,1,27
973,0.1558,1,27
974,0.1558,1,27
975,0.1558,1,27
976,0.1558,1,27
977,0.1558,1,27
978,0.1558,1,27
979,0.1558,1,27
980,0.1558,1,27
981,0.1558,1,27
982,0.1558,1,27
983,0.1558,1,27
984,0.1558,1,27
985,0.1558,1,27
986,0.1558,1,27
987,0.1558,1,27
988,0.1558,1,27
989,0.1558,1,27
990,0.1558,1,27
991,0.1558,1,27
992,0.1558,1,27
993,0.1558,1,27
994,0.1558,1,27
995,0.1558,1,27
996,0.1558,1,27
997,0.1558,1,27
998,0.1558,1,27
999,0.1558,1,27
1000,0.1558,1,27
1001,0.1558,1,27
1002,0.1558,1,27
1003,0.1558,1,27
1004,0.1558,1,27
1005,0.1558,1,27
1006,0.1558,1,27
1007,0.1558,1,27
1008,0.1558,1,27
1009,0.1558,1,27
1010,0.1558,1,27
1011,0.1558,1,27
1012,0.1558,1,27
1013,0.1558,1,27
1014,0.1558,1,27
1015,0.1558,1,27
1016,0.1558,1,27
1017,0.1558,1,27
1018,0.1558,1,27
1019,0.1558,1,27
1020,0.1558,1,27
1021,0.1558,1,27
1022,0.1558,1,27
1023,0.1558,1,27
1024,0.1558,1,27
1025,0.1558,1,27
1026,0.1558,1,27
1027,0.1558,1,27
1028,0.1558,1,27
1029,0.1558,1,27
1030,0.1558,1,27
1031,0.1558,1,27
1032,0.1558,1,27
1033,0.1558,1,27
1034,0.1558,1,27
1035,0.1558,1,27
1036,0.1558,1,27
1037,0.1558,1,27
1038,0.1558,1,27
1039,0.1558,1,27
1040,0.1558,1,27
1041,0.1558,1,27
1042,0.1558,1,27
1043,0.1558,1,27
1044,0.1558,1,27
1045,0.1558,1,27
1046,0.1558,1,27
1047,0.1558,1,27
1048,0.1558,1,27
1049,0.1558,1,27
1050,0.1558,1,27
1051,0.1558,1,27
1052,0.1558,1,27
1053,0.1558,1,27
1054,0.1558,1,27
1055,0.1558,1,27
1056,0.1558,1,27
1057,0.1558,1,27
1058,0.1558,1,27
1059,0.1558,1,27
1060,0.1558,1,27
1061,0.1558,1,27
1062,0.1558,1,27
1063,0.1558,1,27
1064,0.1558,1,27
1065,0.1558,1,27
1066,0.1558,1,27
1067,0.1558,1,27
1068,0.1558,1,27
1069,0.1558,1,27
1070,0.1558,1,27
1071,0.1558,1,27
1072,0.1558,1,27
1073,0.1558,1,27
1074,0.1558,1,27
1075,0.1558,1,27
1076,0.1558,1,27
1077,0.1558,1,27
1078,0.1558,1,27
1079,0.1558,1,27
1080,0.1558,1,27
1081,0.1558,1,27
1082,0.1558,1,27
1083,0.1558,1,27
1084,0.1558,1,27
1085,0.1558,1,27
1086,0.1558,1,27
1087,0.1558,1,27
1088,0.1558,1,27
1089,0.1558,1,27
1090,0.1558,1,27
1091,0.1558,1,27
1092,0.1558,1,27
1093,0.1558,1,27
1094,0.1558,1,27
1095,0.1558,1,27
1096,0.1558,1,27
1097,0.1558,1,27
1098,0.1558,1,27
1099,0.1558,1,27
1100,0.1558,1,27
1101,0.1558,1,27
1102,0.1558,1,27
1103,0.1558,1,27
1104,0.1558,1,27
1105,0.1558,1,27
1106,0.1558,1,27
1107,0.1558,1,27
1108,0.1558,1,27
1109,0.1558,1,27
1110,0.1558,1,27
1111,0.1558,1,27
1112,0.1558,1,27
1113,0.1558,1,27
1114,0.1558,1,27
1115,0.1558,1,27
1116,0.1558,1,27
1117,0.1558,1,27
1118,0.1558,1,27
1119,0.1558,1,27
1120,0.1558,1,27
1121,0.1558,1,27
1122,0.1558,1,27
1123,0.1558,1,27
1124,0.1558,1,27
1125,0.1558,1,27
1126,0.1558,1,27
1127,0.1558,1,27
1128,0.1558,1,27
1129,0.1558,1,27
1130,0.1558,1,27
1131,0.1558,1,27
1132,0.1558,1,27
1133,0.1558,1,27
1134,0.1558,1,27
1135,0.1558,1,27
1136,0.1558,1,27
1137,0.1558,1,27
1138,0.1558,1,27
1139,0.1558,1,27
1140,0.1558,1,27
1141,0.1558,1,27
1142,0.1558,1,27
1143,0.1558,1,27
1144,0.1558,1,27
1145,0.1558,1,27
1146,0.1558,1,27
1147,0.1558,1,27
1148,0.1558,1,27
1149,0.1558,1,27
1150,0.1558,1,27
1151,0.1558,1,27
1152,0.1558,1,27
1153,0.1558,1,27
1154,0.1558,1,27
1155,0.1558,1,27
1156,0.1558,1,27
1157,0.1558,1,27
1158,0.1558,1,27
1159,0.1558,1,27
1160,0.1558,1,27
1161,0.1558,1,27
1162,0.1558,1,27
1163,0.1558,1,27
1164,0.1558,1,27
1165,0.1558,1,27
1166,0.1558,1,27
1167,0.1558,1,27
1168,0.1558,1,27
1169,0.1558,1,27
1170,0.1558,1,27
1171,0.1558,1,27
1172,0.1558,1,27
1173,0.1558,1,27
1174,0.1558,1,27
1175,0.1558,1,27
1176,0.1558,1,27
1177,0.1558,1,27
1178,0.1558,1,27
1179,0.1558,1,27
1180,0.1558,1,27
1181,0.1558,1,27
1182,0.1558,1,27
1183,0.1558,1,27
1184,0.1558,1,27
1185,0.1558,1,27
1186,0.1558,1,27
1187,0.1558,1,27
1188,0.1558,1,27
1189,0.1558,1,27
1190,0.1558,1,27
1191,0.1558,1,27
1192,0.1558,1,27
1193,0.1558,1,27
1194,0.1558,1,27
1195,0.1558,1,27
1196,0.1558,1,27
1197,0.1558,1,27
1198,0.1558,1,27
1199,0.1558,1,27
1200,0.1558,1,27
1201,0.1558,1,27
1202,0.1558,1,27
1203,0.1558,1,27
1204,0.1558,1,27
1205,0.1558,1,27
1206,0.1558,1,27
1207,0.1558,1,27
1208,0.1558,1,27
1209,0.1558,1,27
1210,0.1558,1,27
1211,0.1558,1,27
1212,0.1558,1,27
1213,0.1558,1,27
1214,0.1558,1,27
1215,0.1558,1,27
1216,0.1558,1,27
1217,0.1558,1,27
1218,0.1558,1,27
1219,0.1558,1,27
1220,0.1558,1,27
1221,0.1558,1,27
1222,0.1558,1,27
1223,0.1558,1,27
1224,0.1558,1,27
1225,0.1558,1,27
1226,0.1558,1,27
1227,0.1558,1,27
1228,0.1558,1,27
1229,0.1558,1,27
1230,0.1558,1,27
1231,0.1558,1,27
1232,0.1558,1,27
1233,0.1558,1,27
1234,0.1558,1,27
1235,0.1558,1,27
1236,0.1558,1,27
1237,0.1558,1,27
1238,0.1558,1,27
1239,0.1558,1,27
1240,0.1558,1,27
1241,0.1558,1,27
1242,0.1558,1,27
1243,0.1558,1,27
1244,0.1558,1,27
1245,0.1558,1,27
1246,0.1558,1,27
1247,0.1558,1,27
