"part_id","hh_id","part_age","part_gender"
1255405,"HH1255405","[60,70)","F"
1255406,"HH1255406","[60,70)","F"
1255407,"HH1255407","[60,70)","F"
1255408,"HH1255408","[60,70)","F"
1255501,"HH1255501","[50,60)","M"
1255502,"HH1255502","[50,60)","M"
1255503,"HH1255503","[50,60)","M"
1255504,"HH1255504","[50,60)","M"
1255505,"HH1255505","[50,60)","M"
1255506,"HH1255506","[50,60)","M"
1255507,"HH1255507","[50,60)","M"
1255508,"HH1255508","[50,60)","M"
1255601,"HH1255601","[50,60)","M"
1255602,"HH1255602","[50,60)","M"
1255603,"HH1255603","[50,60)","M"
1255604,"HH1255604","[50,60)","M"
1255605,"HH1255605","[50,60)","M"
1255606,"HH1255606","[50,60)","M"
1255607,"HH1255607","[50,60)","M"
1255608,"HH1255608","[50,60)","M"
1255701,"HH1255701","[50,60)","M"
1255702,"HH1255702","[50,60)","M"
1255703,"HH1255703","[50,60)","M"
1255704,"HH1255704","[50,60)","M"
1255707,"HH1255707","[50,60)","M"
1255708,"HH1255708","[60,70)","M"
1255801,"HH1255801","[30,40)","F"
1255802,"HH1255802","[30,40)","F"
1255804,"HH1255804","[30,40)","F"
1255901,"HH1255901","[40,50)","M"
1255902,"HH1255902","[50,60)","M"
1255903,"HH1255903","[50,60)","M"
1255904,"HH1255904","[50,60)","M"
1255905,"HH1255905","[50,60)","M"
1255906,"HH1255906","[50,60)","M"
1255908,"HH1255908","[50,60)","M"
1256001,"HH1256001","[18,30)","F"
1256101,"HH1256101","[40,50)","F"
1256201,"HH1256201","[40,50)","F"
1256202,"HH1256202","[40,50)","F"
1256203,"HH1256203","[40,50)","F"
1256204,"HH1256204","[40,50)","F"
1256205,"HH1256205","[40,50)","F"
1256206,"HH1256206","[40,50)","F"
1256207,"HH1256207","[40,50)","F"
1256208,"HH1256208","[40,50)","F"
1256301,"HH1256301","[30,40)","M"
1256401,"HH1256401","[40,50)","M"
1256402,"HH1256402","[40,50)","M"
1256403,"HH1256403","[40,50)","M"
1256404,"HH1256404","[40,50)","M"
1256405,"HH1256405","[40,50)","M"
1256406,"HH1256406","[40,50)","M"
1256408,"HH1256408","[40,50)","M"
1256501,"HH1256501","[18,30)","F"
1256601,"HH1256601","[60,70)","M"
1256602,"HH1256602","[60,70)","M"
1256603,"HH1256603","[60,70)","M"
1256604,"HH1256604","[60,70)","M"
1256605,"HH1256605","[60,70)","M"
1256606,"HH1256606","[60,70)","M"
1256607,"HH1256607","[60,70)","M"
1256608,"HH1256608","[60,70)","M"
1256701,"HH1256701","[18,30)","M"
1256702,"HH1256702","[18,30)","M"
1256703,"HH1256703","[18,30)","M"
1256704,"HH1256704","[18,30)","M"
1256705,"HH1256705","[18,30)","M"
1256706,"HH1256706","[18,30)","M"
1256707,"HH1256707","[18,30)","M"
1256708,"HH1256708","[18,30)","M"
1256801,"HH1256801","[18,30)","M"
1256802,"HH1256802","[30,40)","M"
1256803,"HH1256803","[30,40)","M"
1256805,"HH1256805","[30,40)","M"
1256806,"HH1256806","[30,40)","M"
1256807,"HH1256807","[30,40)","M"
1256901,"HH1256901","[70,120)","F"
1256902,"HH1256902","[70,120)","F"
1256904,"HH1256904","[70,120)","F"
1257001,"HH1257001","[18,30)","M"
1257002,"HH1257002","[18,30)","M"
1257003,"HH1257003","[18,30)","M"
1257004,"HH1257004","[18,30)","M"
1257005,"HH1257005","[18,30)","M"
1257006,"HH1257006","[18,30)","M"
1257007,"HH1257007","[18,30)","M"
1257008,"HH1257008","[18,30)","M"
1257101,"HH1257101","[18,30)","F"
1257102,"HH1257102","[18,30)","F"
1257104,"HH1257104","[18,30)","F"
1257105,"HH1257105","[18,30)","F"
1257106,"HH1257106","[18,30)","F"
1257108,"HH1257108","[18,30)","F"
1257201,"HH1257201","[18,30)","F"
1257301,"HH1257301","[50,60)","M"
1257302,"HH1257302","[50,60)","M"
1257303,"HH1257303","[50,60)","M"
1257304,"HH1257304","[50,60)","M"
1257305,"HH1257305","[50,60)","M"
1257306,"HH1257306","[50,60)","M"
1257307,"HH1257307","[50,60)","M"
1257308,"HH1257308","[50,60)","M"
1257401,"HH1257401","[18,30)","F"
1257501,"HH1257501","[50,60)","F"
1257502,"HH1257502","[50,60)","F"
1257503,"HH1257503","[50,60)","F"
1257504,"HH1257504","[50,60)","F"
1257505,"HH1257505","[50,60)","F"
1257506,"HH1257506","[50,60)","F"
1257507,"HH1257507","[50,60)","F"
1257508,"HH1257508","[50,60)","F"
1257601,"HH1257601","[40,50)","F"
1257602,"HH1257602","[40,50)","F"
1257603,"HH1257603","[40,50)","F"
1257604,"HH1257604","[40,50)","F"
1257605,"HH1257605","[40,50)","F"
1257606,"HH1257606","[40,50)","F"
1257607,"HH1257607","[40,50)","F"
1257608,"HH1257608","[40,50)","M"
1257701,"HH1257701","[18,30)","F"
1257702,"HH1257702","[18,30)","F"
1257703,"HH1257703","[18,30)","F"
1257704,"HH1257704","[18,30)","F"
1257705,"HH1257705","[18,30)","F"
1257706,"HH1257706","[18,30)","F"
1257707,"HH1257707","[18,30)","F"
