DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y17,M,DE,2019,408869,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y17,M,FI,2019,29982,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y17,M,IT,2019,295127,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y17,M,LU,2019,3292,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y17,M,NL,2019,106599,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y17,M,PL,2019,186263,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y17,M,UK,2019,367655,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y18,F,BE,2019,62760,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y18,F,DE,2019,399834,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y18,F,FI,2019,28774,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y18,F,IT,2019,280805,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y18,F,LU,2019,3382,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y18,F,NL,2019,106032,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y18,F,PL,2019,181867,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y18,F,UK,2019,359623,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y18,M,BE,2019,66381,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y18,M,DE,2019,435928,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y18,M,FI,2019,30826,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y18,M,IT,2019,306068,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y18,M,LU,2019,3634,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y18,M,NL,2019,110582,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y18,M,PL,2019,191155,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y18,M,UK,2019,380082,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y19,F,BE,2019,62590,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y19,F,DE,2019,406572,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y19,F,FI,2019,29320,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y19,F,IT,2019,277981,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y19,F,LU,2019,3394,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y19,F,NL,2019,106283,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y19,F,PL,2019,183622,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y19,F,UK,2019,374129,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y19,M,BE,2019,65835,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y19,M,DE,2019,454530,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y19,M,FI,2019,31390,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y19,M,IT,2019,307554,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y19,M,LU,2019,3524,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y19,M,NL,2019,111186,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y19,M,PL,2019,192032,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y19,M,UK,2019,396225,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y2,F,BE,2019,60251,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y2,F,DE,2019,391673,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y2,F,FI,2019,26488,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y2,F,IT,2019,229142,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y2,F,LU,2019,3210,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y2,F,NL,2019,84851,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y2,F,PL,2019,187740,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y2,F,UK,2019,383295,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y2,M,BE,2019,63303,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y2,M,DE,2019,410978,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y2,M,FI,2019,27329,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y2,M,IT,2019,241671,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y2,M,LU,2019,3279,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y2,M,NL,2019,89405,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y2,M,PL,2019,197882,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y2,M,UK,2019,403828,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y20,F,BE,2019,63284,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y20,F,DE,2019,423692,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y20,F,FI,2019,28972,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y20,F,IT,2019,278559,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y20,F,LU,2019,3367,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y20,F,NL,2019,107143,
