hh_id,country,hh_size
HH2004229,Belgium,1
HH2004230,Belgium,1
HH2004231,Belgium,1
HH2004232,Belgium,1
HH2004233,Belgium,1
HH2004234,Belgium,1
HH2004235,Belgium,1
HH2004236,Belgium,1
HH2004238,Belgium,1
HH2004239,Belgium,1
HH2004240,Belgium,1
HH2004242,Belgium,1
HH2004243,Belgium,1
HH2004314,Belgium,1
HH2004316,Belgium,1
HH2004317,Belgium,1
HH2004325,Belgium,1
HH2004336,Belgium,1
HH2004338,Belgium,1
HH2004342,Belgium,1
HH2004418,Belgium,3
HH2004420,Belgium,3
HH2004421,Belgium,3
HH2004424,Belgium,3
HH2004425,Belgium,3
HH2004426,Belgium,3
HH2004428,Belgium,3
HH2004429,Belgium,3
HH2004430,Belgium,3
HH2004432,Belgium,3
HH2004433,Belgium,3
HH2004434,Belgium,3
HH2004435,Belgium,3
HH2004436,Belgium,3
HH2004512,Belgium,1
HH2004513,Belgium,1
HH2004518,Belgium,1
HH2004519,Belgium,1
HH2004520,Belgium,1
HH2004521,Belgium,1
HH2004522,Belgium,1
HH2004523,Belgium,1
HH2004524,Belgium,1
HH2004525,Belgium,1
HH2004526,Belgium,1
HH2004527,Belgium,1
HH2004528,Belgium,1
HH2004529,Belgium,1
HH2004530,Belgium,1
HH2004531,Belgium,1
HH2004532,Belgium,1
HH2004533,Belgium,1
HH2004534,Belgium,1
HH2004535,Belgium,1
HH2004536,Belgium,1
HH2004537,Belgium,1
HH2004538,Belgium,1
HH2004539,Belgium,1
HH2004540,Belgium,1
HH2004541,Belgium,1
HH2004542,Belgium,1
HH2004543,Belgium,1
HH2004613,Belgium,4
HH2004614,Belgium,3
HH2004618,Belgium,3
HH2004619,Belgium,3
HH2004620,Belgium,3
HH2004621,Belgium,3
HH2004622,Belgium,3
HH2004623,Belgium,3
HH2004624,Belgium,3
HH2004625,Belgium,3
HH2004626,Belgium,3
HH2004627,Belgium,3
HH2004628,Belgium,3
HH2004629,Belgium,3
HH2004630,Belgium,3
HH2004631,Belgium,3
HH2004633,Belgium,3
HH2004634,Belgium,3
HH2004636,Belgium,3
HH2004639,Belgium,3
HH2004640,Belgium,3
HH2004712,Belgium,1
HH2004717,Belgium,1
HH2004718,Belgium,1
HH2004719,Belgium,1
HH2004720,Belgium,1
HH2004721,Belgium,1
HH2004723,Belgium,1
HH2004725,Belgium,1
HH2004726,Belgium,1
HH2004727,Belgium,1
HH2004728,Belgium,1
HH2004729,Belgium,1
HH2004730,Belgium,1
HH2004731,Belgium,1
HH2004732,Belgium,1
HH2004733,Belgium,1
HH2004734,Belgium,1
HH2004735,Belgium,1
HH2004736,Belgium,1
HH2004737,Belgium,1
HH2004738,Belgium,1
HH2004739,Belgium,1
HH2004740,Belgium,1
HH2004741,Belgium,1
HH2004742,Belgium,1
HH2004743,Belgium,1
HH2004813,Belgium,1
HH2004814,Belgium,1
HH2004818,Belgium,1
HH2004819,Belgium,1
HH2004820,Belgium,1
HH2004821,Belgium,1
HH2004825,Belgium,1
HH2004826,Belgium,1
HH2004827,Belgium,1
HH2004828,Belgium,1
HH2004829,Belgium,1
HH2004830,Belgium,1
HH2004831,Belgium,1
HH2004832,Belgium,1
HH2004833,Belgium,1
HH2004834,Belgium,1
HH2004835,Belgium,1
HH2004836,Belgium,1
HH2004837,Belgium,1
HH2004838,Belgium,1
HH2004840,Belgium,1
HH2004841,Belgium,1
HH2004842,Belgium,1
HH2004843,Belgium,1
HH2004912,Belgium,2
HH2004915,Belgium,2
HH2004916,Belgium,2
HH2004917,Belgium,2
HH2004919,Belgium,2
HH2004920,Belgium,2
HH2004921,Belgium,2
HH2004922,Belgium,2
HH2004923,Belgium,2
HH2004924,Belgium,2
HH2004925,Belgium,2
HH2004926,Belgium,2
HH2004927,Belgium,2
HH2004928,Belgium,2
HH2004929,Belgium,2
HH2004930,Belgium,2
HH2004931,Belgium,2
