part_id,sday_id,day,month,year,dayofweek,wave,holiday
2100123,2021.05.27,27,5,2021,4,23,0
2100323,2021.05.30,30,5,2021,0,23,0
2100523,2021.05.29,29,5,2021,6,23,0
2100723,2021.05.29,29,5,2021,6,23,0
2100823,2021.05.28,28,5,2021,5,23,0
2100923,2021.05.26,26,5,2021,3,23,0
2101023,2021.05.27,27,5,2021,4,23,0
2101123,2021.05.26,26,5,2021,3,23,0
2101423,2021.05.26,26,5,2021,3,23,0
2101823,2021.05.27,27,5,2021,4,23,0
2101923,2021.05.26,26,5,2021,3,23,0
2102023,2021.05.30,30,5,2021,0,23,0
2102123,2021.05.30,30,5,2021,0,23,0
2102423,2021.05.27,27,5,2021,4,23,0
2102623,2021.05.30,30,5,2021,0,23,0
2102823,2021.05.29,29,5,2021,6,23,0
2102923,2021.05.26,26,5,2021,3,23,0
2103023,2021.05.27,27,5,2021,4,23,0
2103323,2021.05.27,27,5,2021,4,23,0
2103823,2021.05.27,27,5,2021,4,23,0
2103923,2021.05.26,26,5,2021,3,23,0
2104023,2021.05.26,26,5,2021,3,23,0
2104123,2021.05.30,30,5,2021,0,23,0
2104223,2021.05.26,26,5,2021,3,23,0
2104623,2021.05.28,28,5,2021,5,23,0
2105823,2021.05.27,27,5,2021,4,23,0
2105923,2021.05.30,30,5,2021,0,23,0
2106123,2021.05.29,29,5,2021,6,23,0
2106323,2021.05.29,29,5,2021,6,23,0
2106423,2021.05.26,26,5,2021,3,23,0
2106523,2021.05.29,29,5,2021,6,23,0
2106623,2021.05.26,26,5,2021,3,23,0
2106723,2021.05.30,30,5,2021,0,23,0
2106823,2021.05.26,26,5,2021,3,23,0
2107023,2021.05.25,25,5,2021,2,23,0
2107223,2021.05.25,25,5,2021,2,23,0
2107323,2021.05.27,27,5,2021,4,23,0
2107623,2021.05.30,30,5,2021,0,23,0
2107723,2021.05.30,30,5,2021,0,23,0
2107823,2021.05.30,30,5,2021,0,23,0
2108123,2021.05.26,26,5,2021,3,23,0
2108223,2021.05.27,27,5,2021,4,23,0
2108323,2021.05.26,26,5,2021,3,23,0
2108423,2021.05.30,30,5,2021,0,23,0
2108823,2021.05.26,26,5,2021,3,23,0
2108923,2021.05.27,27,5,2021,4,23,0
2109023,2021.05.26,26,5,2021,3,23,0
2109123,2021.05.26,26,5,2021,3,23,0
2109523,2021.05.30,30,5,2021,0,23,0
2109623,2021.05.27,27,5,2021,4,23,0
2109723,2021.05.29,29,5,2021,6,23,0
2109923,2021.05.26,26,5,2021,3,23,0
2110023,2021.05.26,26,5,2021,3,23,0
2110123,2021.05.27,27,5,2021,4,23,0
2110223,2021.05.30,30,5,2021,0,23,0
2110323,2021.05.26,26,5,2021,3,23,0
2110423,2021.05.27,27,5,2021,4,23,0
2110623,2021.05.27,27,5,2021,4,23,0
2110723,2021.05.26,26,5,2021,3,23,0
2111023,2021.05.29,29,5,2021,6,23,0
2111223,2021.05.26,26,5,2021,3,23,0
2111623,2021.05.26,26,5,2021,3,23,0
2111923,2021.05.26,26,5,2021,3,23,0
2112023,2021.05.27,27,5,2021,4,23,0
2112223,2021.05.25,25,5,2021,2,23,0
2112623,2021.05.29,29,5,2021,6,23,0
2112723,2021.05.26,26,5,2021,3,23,0
2112923,2021.05.26,26,5,2021,3,23,0
2113123,2021.05.30,30,5,2021,0,23,0
2113223,2021.05.29,29,5,2021,6,23,0
2113423,2021.05.29,29,5,2021,6,23,0
2113723,2021.05.26,26,5,2021,3,23,0
2114023,2021.05.29,29,5,2021,6,23,0
2114123,2021.05.27,27,5,2021,4,23,0
2114423,2021.05.27,27,5,2021,4,23,0
2114923,2021.05.26,26,5,2021,3,23,0
2115023,2021.05.26,26,5,2021,3,23,0
2115123,2021.05.26,26,5,2021,3,23,0
2115623,2021.05.26,26,5,2021,3,23,0
2115723,2021.05.27,27,5,2021,4,23,0
2115823,2021.05.31,31,5,2021,1,23,0
2116223,2021.05.27,27,5,2021,4,23,0
2116723,2021.05.25,25,5,2021,2,23,0
2116823,2021.05.26,26,5,2021,3,23,0
2116923,2021.05.26,26,5,2021,3,23,0
2117223,2021.05.25,25,5,2021,2,23,0
2117423,2021.05.29,29,5,2021,6,23,0
2117723,2021.05.30,30,5,2021,0,23,0
2118023,2021.05.26,26,5,2021,3,23,0
2118123,2021.05.26,26,5,2021,3,23,0
2118223,2021.05.29,29,5,2021,6,23,0
2118623,2021.05.26,26,5,2021,3,23,0
2120023,2021.05.27,27,5,2021,4,23,0
2120123,2021.05.31,31,5,2021,1,23,0
2120223,2021.05.26,26,5,2021,3,23,0
2121223,2021.05.30,30,5,2021,0,23,0
2121823,2021.05.26,26,5,2021,3,23,0
2122123,2021.05.30,30,5,2021,0,23,0
2122623,2021.05.29,29,5,2021,6,23,0
2122723,2021.05.29,29,5,2021,6,23,0
2122923,2021.05.26,26,5,2021,3,23,0
2123123,2021.05.30,30,5,2021,0,23,0
2123323,2021.05.29,29,5,2021,6,23,0
2123623,2021.05.26,26,5,2021,3,23,0
2123723,2021.05.26,26,5,2021,3,23,0
2123923,2021.05.30,30,5,2021,0,23,0
2124123,2021.05.26,26,5,2021,3,23,0
2124223,2021.05.31,31,5,2021,1,23,0
2124423,2021.05.25,25,5,2021,2,23,0
2124923,2021.05.30,30,5,2021,0,23,0
2125123,2021.05.31,31,5,2021,1,23,0
2125223,2021.05.27,27,5,2021,4,23,0
2125523,2021.05.31,31,5,2021,1,23,0
2125723,2021.05.28,28,5,2021,5,23,0
2126023,2021.05.26,26,5,2021,3,23,0
2126323,2021.05.26,26,5,2021,3,23,0
2126423,2021.05.29,29,5,2021,6,23,0
2126923,2021.05.30,30,5,2021,0,23,0
2127223,2021.05.27,27,5,2021,4,23,0
2127423,2021.05.30,30,5,2021,0,23,0
2128123,2021.05.26,26,5,2021,3,23,0
2128623,2021.05.30,30,5,2021,0,23,0
2128723,2021.05.26,26,5,2021,3,23,0
2129123,2021.05.26,26,5,2021,3,23,0
2129923,2021.05.26,26,5,2021,3,23,0
2130523,2021.05.26,26,5,2021,3,23,0
